Date,Open,High,Low,Close,Volume
6-Oct-16,16.89,16.93,16.84,16.87,13880
5-Oct-16,17.05,17.06,16.91,16.94,22429
4-Oct-16,17.15,17.15,16.96,17.05,30703
3-Oct-16,17.09,17.15,17.07,17.10,12668
30-Sep-16,17.10,17.18,17.07,17.09,19765
29-Sep-16,17.24,17.25,17.06,17.10,19945
28-Sep-16,17.12,17.28,17.12,17.28,23141
27-Sep-16,17.11,17.16,17.11,17.13,18489
26-Sep-16,17.08,17.12,17.04,17.11,15935
23-Sep-16,17.03,17.23,17.03,17.03,26201
22-Sep-16,16.91,17.07,16.91,17.06,22923
21-Sep-16,16.76,16.86,16.73,16.84,14730
20-Sep-16,16.73,16.83,16.73,16.78,19120
19-Sep-16,16.70,16.80,16.70,16.75,34118
16-Sep-16,16.90,16.90,16.65,16.70,58703
15-Sep-16,16.97,17.06,16.96,16.98,24911
14-Sep-16,17.00,17.13,17.00,17.02,18669
13-Sep-16,17.12,17.16,17.00,17.06,25161
12-Sep-16,17.15,17.28,17.11,17.21,50622
9-Sep-16,17.57,17.57,17.19,17.19,47764
8-Sep-16,17.57,17.62,17.57,17.61,16386
7-Sep-16,17.57,17.62,17.53,17.60,21265
6-Sep-16,17.45,17.63,17.45,17.63,25565
2-Sep-16,17.47,17.49,17.42,17.48,14514
1-Sep-16,17.55,17.55,17.45,17.46,27054
31-Aug-16,17.55,17.55,17.48,17.51,19641
30-Aug-16,17.40,17.50,17.39,17.50,30273
29-Aug-16,17.42,17.46,17.41,17.42,14559
26-Aug-16,17.39,17.42,17.39,17.41,9139
25-Aug-16,17.46,17.48,17.40,17.42,24881
24-Aug-16,17.50,17.50,17.42,17.46,13831
23-Aug-16,17.51,17.51,17.44,17.51,23190
22-Aug-16,17.46,17.51,17.43,17.50,18792
19-Aug-16,17.38,17.45,17.38,17.44,14186
18-Aug-16,17.25,17.47,17.25,17.41,52338
17-Aug-16,17.28,17.32,17.27,17.32,11546
16-Aug-16,17.35,17.36,17.25,17.27,14587
15-Aug-16,17.34,17.36,17.32,17.35,23925
12-Aug-16,17.33,17.39,17.26,17.32,28488
11-Aug-16,17.42,17.42,17.32,17.32,19657
10-Aug-16,17.45,17.47,17.41,17.44,14902
9-Aug-16,17.47,17.47,17.40,17.46,15421
8-Aug-16,17.42,17.48,17.38,17.38,31987
5-Aug-16,17.48,17.48,17.42,17.42,29859
4-Aug-16,17.53,17.56,17.48,17.48,17488
3-Aug-16,17.39,17.51,17.36,17.50,17897
2-Aug-16,17.48,17.48,17.31,17.34,31793
1-Aug-16,17.53,17.56,17.46,17.51,21333
29-Jul-16,17.51,17.56,17.48,17.53,20458
28-Jul-16,17.58,17.58,17.46,17.51,26011
27-Jul-16,17.51,17.57,17.48,17.50,26147
26-Jul-16,17.45,17.50,17.45,17.48,25865
25-Jul-16,17.44,17.48,17.42,17.45,32578
22-Jul-16,17.50,17.54,17.49,17.49,24468
21-Jul-16,17.49,17.52,17.44,17.51,28157
20-Jul-16,17.42,17.48,17.40,17.46,32353
19-Jul-16,17.45,17.49,17.24,17.44,50989
18-Jul-16,17.26,17.41,17.26,17.37,49394
15-Jul-16,17.01,17.20,16.77,17.17,169696
14-Jul-16,17.64,17.64,17.03,17.05,222822
13-Jul-16,17.99,18.03,17.59,17.61,88365
12-Jul-16,18.23,18.23,18.04,18.06,43281
11-Jul-16,18.30,18.30,18.13,18.16,16797
8-Jul-16,18.07,18.18,18.07,18.16,18444
7-Jul-16,18.00,18.08,17.97,18.07,46337
6-Jul-16,17.96,18.00,17.96,18.00,21031
5-Jul-16,17.99,17.99,17.87,17.93,32576
1-Jul-16,17.95,17.99,17.86,17.99,25592
30-Jun-16,17.85,17.89,17.76,17.89,31237
29-Jun-16,17.81,17.81,17.73,17.79,33631
28-Jun-16,17.71,17.79,17.70,17.76,34062
27-Jun-16,17.73,17.81,17.71,17.71,38947
24-Jun-16,17.66,17.77,17.62,17.70,32885
23-Jun-16,17.72,17.78,17.58,17.60,29951
22-Jun-16,17.93,17.93,17.72,17.72,62964
21-Jun-16,17.99,17.99,17.86,17.88,59811
20-Jun-16,17.88,17.97,17.84,17.92,31990
17-Jun-16,17.74,17.99,17.74,17.94,38699
16-Jun-16,17.70,17.75,17.68,17.75,47702
15-Jun-16,17.64,17.70,17.58,17.68,68975
14-Jun-16,17.65,17.70,17.56,17.56,34446
13-Jun-16,17.57,17.71,17.56,17.65,32819
10-Jun-16,17.67,17.68,17.54,17.60,25614
9-Jun-16,17.49,17.61,17.49,17.56,54073
8-Jun-16,17.55,17.55,17.42,17.44,44761
7-Jun-16,17.48,17.56,17.46,17.46,38718
6-Jun-16,17.57,17.61,17.46,17.48,34254
3-Jun-16,17.35,17.52,17.35,17.52,56927
2-Jun-16,17.33,17.37,17.30,17.35,17726
1-Jun-16,17.23,17.35,17.22,17.35,50651
31-May-16,17.10,17.27,17.07,17.14,36306
27-May-16,17.23,17.23,17.14,17.14,48074
26-May-16,16.98,17.16,16.97,17.16,64908
25-May-16,16.94,17.02,16.88,16.89,42756
24-May-16,17.03,17.03,16.89,16.94,49494
23-May-16,16.91,16.99,16.90,16.96,26801
20-May-16,16.94,16.94,16.78,16.87,56343
19-May-16,16.99,17.04,16.78,16.90,96211
18-May-16,17.24,17.29,17.05,17.05,60453
17-May-16,17.18,17.25,17.17,17.22,45212
16-May-16,17.08,17.22,17.08,17.14,77431
13-May-16,17.12,17.20,17.09,17.16,42562
12-May-16,17.05,17.14,16.95,17.06,61978
11-May-16,17.05,17.14,17.00,17.14,56565
10-May-16,17.08,17.10,16.94,17.05,65045
9-May-16,16.91,17.07,16.91,17.04,74201
6-May-16,16.93,17.00,16.87,16.95,82490
5-May-16,16.96,16.96,16.85,16.92,32336
4-May-16,16.87,16.93,16.82,16.93,77747
3-May-16,16.90,16.97,16.83,16.94,45160
2-May-16,16.91,16.95,16.89,16.93,44392
29-Apr-16,16.94,16.94,16.87,16.94,41583
28-Apr-16,16.80,16.90,16.80,16.89,49649
27-Apr-16,16.78,16.88,16.78,16.88,39675
26-Apr-16,16.69,16.79,16.69,16.75,42470
25-Apr-16,16.88,16.88,16.70,16.75,101722
22-Apr-16,16.89,16.89,16.81,16.87,47848
21-Apr-16,17.00,17.02,16.84,16.89,68524
20-Apr-16,17.16,17.16,16.92,16.98,47619
19-Apr-16,17.36,17.36,16.96,17.00,148051
18-Apr-16,17.11,17.34,17.00,17.34,116107
15-Apr-16,16.99,17.00,16.95,16.99,33796
14-Apr-16,16.92,16.96,16.83,16.96,33884
13-Apr-16,16.86,16.88,16.75,16.88,38305
12-Apr-16,17.00,17.00,16.84,16.90,147518
11-Apr-16,16.72,16.96,16.72,16.95,70249
8-Apr-16,16.74,16.75,16.70,16.72,15470
7-Apr-16,16.67,16.75,16.65,16.71,24356
6-Apr-16,16.60,16.70,16.60,16.70,21820
5-Apr-16,16.58,16.62,16.54,16.61,38977
4-Apr-16,16.55,16.60,16.48,16.56,54572
1-Apr-16,16.56,16.56,16.50,16.53,26261
31-Mar-16,16.32,16.53,16.32,16.53,44318
30-Mar-16,16.33,16.33,16.23,16.28,31768
29-Mar-16,16.33,16.33,16.25,16.26,30206
28-Mar-16,16.44,16.44,16.25,16.25,75102
24-Mar-16,16.43,16.43,16.28,16.39,36228
23-Mar-16,16.44,16.45,16.36,16.40,36833
22-Mar-16,16.45,16.47,16.38,16.44,30572
21-Mar-16,16.28,16.41,16.26,16.38,21030
