Date,Open,High,Low,Close,Volume
6-Oct-16,425.90,428.86,423.10,424.49,564275
5-Oct-16,427.95,430.96,424.40,427.84,628819
4-Oct-16,433.09,434.14,425.33,427.27,655556
3-Oct-16,423.03,433.95,422.54,430.87,890573
30-Sep-16,421.36,428.90,418.01,423.50,996508
29-Sep-16,418.00,425.50,415.42,420.73,905388
28-Sep-16,419.81,421.33,413.22,418.31,819303
27-Sep-16,419.50,422.50,415.43,418.95,644091
26-Sep-16,412.73,422.60,408.59,419.88,1070845
23-Sep-16,409.18,417.74,408.72,413.81,1041529
22-Sep-16,404.00,410.43,403.06,410.16,959432
21-Sep-16,398.30,403.49,395.50,399.75,924212
20-Sep-16,402.76,404.90,395.11,400.42,1490731
19-Sep-16,409.48,410.66,401.32,402.76,1139757
16-Sep-16,413.06,414.89,406.50,409.32,1213942
15-Sep-16,414.90,418.94,411.58,413.96,1131809
14-Sep-16,423.66,424.59,412.11,414.90,875912
13-Sep-16,424.32,425.13,417.71,421.36,995763
12-Sep-16,423.39,429.74,422.99,428.90,778025
9-Sep-16,434.83,436.26,426.41,426.55,992495
8-Sep-16,437.55,440.24,434.76,436.31,1236815
7-Sep-16,431.23,441.20,430.00,438.45,3223095
6-Sep-16,408.25,415.48,406.02,414.07,1087634
2-Sep-16,414.25,414.89,408.05,408.41,1006994
1-Sep-16,415.81,415.89,410.64,414.68,793405
31-Aug-16,415.25,418.95,412.00,413.73,1141070
30-Aug-16,422.46,423.48,412.68,415.15,1221793
29-Aug-16,420.00,426.62,419.20,423.02,1179564
26-Aug-16,413.44,419.23,412.02,418.75,1026300
25-Aug-16,403.75,416.90,402.49,413.34,1503964
24-Aug-16,397.00,405.50,396.86,403.75,1085554
23-Aug-16,396.02,399.00,391.96,397.00,787342
22-Aug-16,389.00,397.25,388.53,396.04,1104885
19-Aug-16,393.76,395.01,387.01,388.50,1323767
18-Aug-16,396.97,397.81,392.57,394.91,1044792
17-Aug-16,401.00,401.88,395.16,399.18,792015
16-Aug-16,398.47,405.26,396.50,400.86,698512
15-Aug-16,397.33,399.89,394.40,397.48,703540
12-Aug-16,396.71,399.00,395.62,397.33,793199
11-Aug-16,395.07,399.16,394.20,398.22,677324
10-Aug-16,395.00,397.32,391.20,395.07,814212
9-Aug-16,401.17,404.76,394.36,395.10,655408
8-Aug-16,402.48,404.26,400.70,401.40,547058
5-Aug-16,399.45,403.64,398.27,401.13,808757
4-Aug-16,402.00,404.77,394.34,397.20,873215
3-Aug-16,402.00,407.64,400.00,402.56,785994
2-Aug-16,412.70,412.70,401.20,402.64,1195531
1-Aug-16,423.60,426.00,413.86,414.08,1004923
29-Jul-16,428.69,430.53,422.70,423.99,783723
28-Jul-16,425.56,432.77,421.27,430.55,844628
27-Jul-16,431.90,434.71,425.64,426.06,696244
26-Jul-16,431.95,439.24,429.85,430.85,1102579
25-Jul-16,443.00,443.50,435.00,441.52,1481416
22-Jul-16,414.65,444.13,412.19,442.48,4167945
21-Jul-16,419.68,420.16,412.42,418.07,2143500
20-Jul-16,415.24,420.62,414.09,419.68,846918
19-Jul-16,413.91,419.65,413.00,415.31,909572
18-Jul-16,404.92,410.90,402.26,408.90,750732
15-Jul-16,409.63,411.94,404.10,404.86,1579949
14-Jul-16,420.94,422.18,412.00,417.98,1165732
13-Jul-16,411.40,421.97,411.00,416.63,1420827
12-Jul-16,405.38,410.66,401.13,408.34,709588
11-Jul-16,407.01,413.00,402.09,403.18,1009546
8-Jul-16,393.00,404.09,392.10,399.71,1070873
7-Jul-16,393.99,395.56,386.10,390.78,1747843
6-Jul-16,393.85,402.06,393.85,401.05,786152
5-Jul-16,395.00,399.30,391.01,396.38,889114
1-Jul-16,400.00,405.28,391.51,393.91,1223426
30-Jun-16,409.49,409.87,401.57,402.76,1073913
29-Jun-16,396.43,410.34,395.49,409.49,1016559
28-Jun-16,396.39,397.44,389.00,391.67,722535
27-Jun-16,399.56,400.22,386.70,388.78,1196744
24-Jun-16,397.25,413.57,396.75,400.73,1701046
23-Jun-16,393.25,413.02,393.20,408.89,1575610
22-Jun-16,391.00,396.88,388.18,392.99,864985
21-Jun-16,399.37,399.66,387.89,391.96,1050020
20-Jun-16,399.79,401.96,396.69,396.94,936820
17-Jun-16,395.50,400.41,393.00,397.27,1275078
16-Jun-16,393.24,396.67,389.59,393.55,1072345
15-Jun-16,396.14,402.35,389.41,390.31,1201254
14-Jun-16,390.60,395.87,384.77,395.27,1633734
13-Jun-16,400.26,405.40,393.63,394.00,1846317
10-Jun-16,412.56,413.87,403.13,405.26,1562710
9-Jun-16,426.12,427.20,415.15,415.79,1198363
8-Jun-16,433.00,434.87,423.00,429.20,990189
7-Jun-16,446.56,447.08,432.52,433.39,944055
6-Jun-16,436.12,446.65,435.02,445.27,800716
3-Jun-16,440.37,441.23,433.64,433.94,874751
2-Jun-16,433.81,444.54,433.10,443.49,1019904
1-Jun-16,442.11,443.56,431.31,432.59,792583
31-May-16,445.00,446.92,439.13,441.96,983865
27-May-16,452.50,453.52,442.65,445.41,1012282
26-May-16,452.50,460.77,451.51,452.03,742864
25-May-16,458.50,462.94,455.62,458.04,693626
24-May-16,460.00,461.04,453.39,457.33,651513
23-May-16,452.62,467.00,451.07,456.44,1056279
20-May-16,448.90,450.23,439.81,449.92,1313101
19-May-16,447.18,454.37,447.18,450.64,606473
