Date,Open,High,Low,Close,Volume
6-Oct-16,113.25,114.22,112.40,113.92,3899954
5-Oct-16,113.91,114.83,113.38,113.41,3720334
4-Oct-16,114.99,115.51,113.42,113.50,4742913
3-Oct-16,115.01,115.15,114.41,114.64,3085770
30-Sep-16,114.69,115.71,114.69,115.36,4188694
29-Sep-16,115.20,115.97,114.73,114.79,4924448
28-Sep-16,116.38,116.53,114.46,115.18,5638874
27-Sep-16,116.95,117.20,116.37,116.88,3745396
26-Sep-16,116.80,116.94,116.28,116.53,3022356
23-Sep-16,116.49,117.52,116.35,117.17,2775956
22-Sep-16,117.46,117.95,117.28,117.36,3808802
21-Sep-16,116.49,117.05,115.96,116.93,4528903
20-Sep-16,115.72,116.63,115.50,116.45,3841800
19-Sep-16,115.83,116.41,114.96,115.21,3741507
16-Sep-16,115.68,116.26,114.83,115.28,9500452
15-Sep-16,114.88,116.24,114.77,116.14,3674687
14-Sep-16,115.00,115.66,114.82,115.18,4530713
13-Sep-16,115.61,115.61,114.48,114.73,4162162
12-Sep-16,114.47,116.18,114.13,115.95,5014014
9-Sep-16,115.60,115.76,114.58,114.58,4961070
8-Sep-16,116.82,117.11,116.04,116.17,3085582
7-Sep-16,117.27,117.49,116.44,116.92,2647685
6-Sep-16,117.09,119.24,116.91,117.25,6337938
2-Sep-16,115.93,116.11,115.70,115.83,3410123
1-Sep-16,115.51,115.81,114.86,115.40,3966619
31-Aug-16,115.51,116.00,115.20,115.66,5394668
30-Aug-16,115.41,115.87,114.60,115.36,5085332
29-Aug-16,114.60,115.65,114.50,115.41,4982952
26-Aug-16,115.63,115.72,113.96,114.44,5294499
25-Aug-16,115.10,115.78,114.88,115.43,6694088
24-Aug-16,115.15,115.40,114.73,114.87,4135442
23-Aug-16,115.91,116.12,115.05,115.19,4305419
22-Aug-16,115.00,115.73,114.65,115.42,4484694
19-Aug-16,116.80,116.80,115.00,115.01,7065676
18-Aug-16,117.24,117.36,116.80,117.13,3710532
17-Aug-16,117.98,117.98,116.52,117.10,5184865
16-Aug-16,118.31,118.53,117.92,117.94,3333942
15-Aug-16,119.02,119.25,118.52,118.52,3391619
12-Aug-16,119.57,120.02,119.28,119.52,3015659
11-Aug-16,118.87,119.75,118.85,119.38,3490215
10-Aug-16,118.00,118.94,117.65,118.80,2941743
9-Aug-16,117.98,119.13,117.60,118.31,3491668
8-Aug-16,119.17,119.37,118.20,118.29,3589327
5-Aug-16,118.78,119.45,118.60,119.21,3883771
4-Aug-16,117.85,118.55,117.58,118.30,4313219
3-Aug-16,117.77,118.02,117.14,117.52,4120014
2-Aug-16,118.18,118.71,117.11,117.70,4504168
1-Aug-16,117.88,118.39,117.74,118.01,4208757
29-Jul-16,119.14,119.66,117.43,117.65,7460860
28-Jul-16,119.59,120.18,118.36,119.42,6239355
27-Jul-16,121.69,121.79,119.24,119.48,9939199
26-Jul-16,123.50,124.35,120.97,121.71,14563682
25-Jul-16,127.95,127.95,126.86,127.40,6210059
22-Jul-16,127.29,128.60,127.29,128.26,4304163
21-Jul-16,126.42,127.23,125.93,127.18,3596912
20-Jul-16,126.84,126.87,125.56,126.06,3353313
19-Jul-16,124.08,126.60,123.75,126.50,6277670
18-Jul-16,124.00,124.00,123.39,123.80,5254727
15-Jul-16,124.42,124.44,123.39,123.61,3688425
14-Jul-16,123.70,124.21,123.01,123.93,6011933
13-Jul-16,122.36,123.02,122.16,122.82,3464177
12-Jul-16,122.00,122.59,121.96,122.25,3742030
