Date,Open,High,Low,Close,Volume
6-Oct-16,10.61,10.70,10.51,10.67,2102131
5-Oct-16,10.60,10.69,10.55,10.62,2992463
4-Oct-16,10.78,10.86,10.47,10.54,3020186
3-Oct-16,10.81,10.86,10.68,10.73,3351900
30-Sep-16,10.59,10.88,10.59,10.80,3302376
29-Sep-16,10.74,11.00,10.60,10.61,4595015
28-Sep-16,10.69,10.81,10.54,10.71,5255752
27-Sep-16,10.84,10.88,10.73,10.81,3654132
26-Sep-16,10.77,10.89,10.74,10.80,2490572
23-Sep-16,10.78,10.87,10.74,10.83,3083904
22-Sep-16,10.67,10.79,10.60,10.77,3349263
21-Sep-16,10.65,10.70,10.48,10.59,2630336
20-Sep-16,10.79,10.80,10.53,10.59,4743231
19-Sep-16,10.89,10.97,10.67,10.73,2954527
16-Sep-16,10.80,10.91,10.74,10.85,5361895
15-Sep-16,10.33,10.89,10.32,10.81,5695751
14-Sep-16,10.51,10.56,10.31,10.37,3135156
13-Sep-16,10.52,10.59,10.37,10.51,4910294
12-Sep-16,10.19,10.57,10.09,10.54,6028465
9-Sep-16,10.21,10.32,10.18,10.21,5698109
8-Sep-16,10.35,10.38,10.26,10.30,4216476
7-Sep-16,10.20,10.42,10.15,10.41,4730020
6-Sep-16,10.25,10.28,10.11,10.20,2965819
2-Sep-16,10.10,10.23,10.09,10.20,2324791
1-Sep-16,10.16,10.22,10.04,10.06,2079093
31-Aug-16,10.03,10.24,9.99,10.19,5018386
30-Aug-16,10.02,10.15,10.02,10.04,2934761
29-Aug-16,9.88,10.10,9.86,10.03,4243545
26-Aug-16,9.93,10.00,9.82,9.90,6386330
25-Aug-16,9.93,10.01,9.91,9.93,2345598
24-Aug-16,9.97,10.09,9.93,9.94,1582820
23-Aug-16,9.92,10.02,9.87,9.99,3574442
22-Aug-16,9.93,9.97,9.87,9.89,2086715
19-Aug-16,10.06,10.08,9.92,9.96,2555947
18-Aug-16,10.14,10.20,10.07,10.08,3549219
17-Aug-16,10.03,10.18,10.00,10.13,4018173
16-Aug-16,10.26,10.29,10.05,10.06,2944435
15-Aug-16,10.02,10.27,10.02,10.25,2900787
12-Aug-16,9.94,10.25,9.93,9.98,4278020
11-Aug-16,9.90,10.02,9.80,9.94,5092651
10-Aug-16,9.77,10.20,9.39,9.91,14247527
9-Aug-16,10.05,10.30,10.05,10.19,6133552
8-Aug-16,9.95,10.18,9.92,10.04,4952303
5-Aug-16,9.76,9.96,9.73,9.90,2462444
4-Aug-16,9.48,9.75,9.48,9.70,4339247
3-Aug-16,9.45,9.53,9.38,9.50,3326438
2-Aug-16,9.45,9.59,9.33,9.45,7389343
1-Aug-16,9.69,9.77,9.64,9.73,3183596
29-Jul-16,9.70,9.77,9.60,9.66,4935834
28-Jul-16,9.74,9.78,9.63,9.74,2070628
27-Jul-16,9.80,9.86,9.66,9.73,2997250
26-Jul-16,10.07,10.11,9.72,9.74,8165616
25-Jul-16,9.97,10.15,9.94,10.14,2857608
22-Jul-16,9.85,10.07,9.82,10.02,2909348
21-Jul-16,9.88,9.91,9.77,9.85,2138373
20-Jul-16,9.84,9.89,9.75,9.86,3485264
19-Jul-16,9.45,9.84,9.45,9.75,7172706
18-Jul-16,9.61,9.64,9.40,9.50,3801600
15-Jul-16,9.77,9.80,9.59,9.62,2645749
14-Jul-16,9.82,9.82,9.73,9.78,1873589
13-Jul-16,9.77,9.85,9.72,9.74,1876879
12-Jul-16,9.79,9.87,9.73,9.78,2633533
11-Jul-16,9.65,9.83,9.61,9.78,2422459
8-Jul-16,9.56,9.73,9.50,9.62,2062277
7-Jul-16,9.60,9.61,9.35,9.55,4037222
6-Jul-16,9.50,9.64,9.47,9.63,3795234
5-Jul-16,9.59,9.68,9.48,9.58,2635018
1-Jul-16,9.60,9.69,9.57,9.60,1509624
30-Jun-16,9.46,9.62,9.34,9.62,3467175
29-Jun-16,9.45,9.52,9.40,9.47,2845429
28-Jun-16,9.42,9.54,9.32,9.37,2796955
27-Jun-16,9.60,9.60,9.15,9.31,5388910
24-Jun-16,9.52,9.70,9.45,9.66,10496785
23-Jun-16,9.89,9.97,9.86,9.89,2157124
22-Jun-16,9.77,9.95,9.77,9.81,3238710
21-Jun-16,10.03,10.11,9.99,9.99,1979627
20-Jun-16,10.15,10.22,10.00,10.05,5018792
17-Jun-16,9.74,10.07,9.72,10.07,7270586
16-Jun-16,9.71,9.78,9.60,9.73,4443437
15-Jun-16,9.90,9.94,9.70,9.73,4015489
14-Jun-16,9.92,9.96,9.81,9.89,2232980
13-Jun-16,10.19,10.23,9.91,9.91,2774954
10-Jun-16,10.21,10.36,10.17,10.25,5043875
9-Jun-16,10.21,10.41,10.19,10.31,4957657
8-Jun-16,10.10,10.25,10.06,10.24,3814076
7-Jun-16,10.15,10.18,10.08,10.10,2959974
6-Jun-16,10.10,10.19,10.02,10.14,3604900
3-Jun-16,10.39,10.39,10.05,10.09,7053444
2-Jun-16,10.17,10.48,10.15,10.42,10420732
1-Jun-16,10.21,10.23,9.96,10.19,3749974
31-May-16,10.31,10.34,10.19,10.28,3571182
27-May-16,10.29,10.36,10.25,10.29,1858788
26-May-16,10.37,10.48,10.30,10.31,2763747
25-May-16,10.27,10.43,10.26,10.37,2654947
24-May-16,10.19,10.30,10.14,10.26,2934273
23-May-16,10.17,10.22,10.11,10.13,2764572
20-May-16,10.24,10.28,10.13,10.17,2675173
19-May-16,10.16,10.24,10.12,10.21,1836393
18-May-16,10.23,10.38,10.18,10.21,2590034
17-May-16,10.61,10.74,10.41,10.47,3703588
16-May-16,10.45,10.56,10.41,10.51,2039575
13-May-16,10.48,10.56,10.42,10.46,4650100
12-May-16,10.32,10.50,10.28,10.45,4678909
11-May-16,10.81,10.82,10.16,10.19,12371022
